"EDITAR";"C_CONTRATO";"C_CLIENTE";"INICIO_VIGENCIA";"FIN_VIGENCIA";"C_MONEDA";"INVERSION";"INVER_IGV";"MONTO_ORDENAR";"MONTO_OR_IGV";"OBSERVACIONES";"F_CREACION";"C_USUARIO";"RUC_CLIENTE";"NRO_FISICO";"FACTURADO";"TAZA_IGV";"TIPO_CAMBIO";
"
";"T0308";"C044";"01/07/11";"31/07/11";"Soles";"7000";"8260";"7000";"8260";"CONTRATO AMERICA TELEVISION MONTO EN DOLARES US$ 2,500.00 + IGV TIPO DE CAMBIO 2.8";"07/07/11";"AUROCO";"20147883952";"CAP 161-11";"";"18";""
"
";"T0309";"C099";"01/07/11";"31/07/11";"Dolares";"1000";"1180";"1000";"1180";"";"07/07/11";"AUROCO";"20515232371";"CAP 158-11";"";"18";""
"
";"T0310";"C046";"01/07/11";"31/07/11";"Soles";"51818,56";"61146";"51818,56";"61146";"CONTRATO AMERICA TELEVISION MONTO EN DOLARES US$ 18,506.63 + IGV TIPO DE CAMBIO";"08/07/11";"AUROCO";"20109199835";"CAP 162-11";"";"18";""
"
";"T0311";"C0104";"01/07/11";"31/07/11";"Dolares";"375";"443";"375";"443";"";"12/07/11";"AUROCO";"20431684871";"CAP 162-11";"";"18";""
"
";"T0312";"C02";"01/07/11";"31/08/11";"Soles";"29635,14";"34969,4652";"29635,14";"34969,4652";"CONTRATO AMERICA TELEVISION MONTO BRUTO EN DOLARES US$ 10,583.98 + IGV TIPO DE CAMBIO 2.8";"14/07/11";"AUROCO";"20517845532";"CAP 164-11";"";"18";""
"
";"T0313";"C063";"01/07/11";"31/08/11";"Dolares";"10237,5";"12080";"10237,5";"12080";"CONTRATO CANJE PLAY LAND PARK (8,305 TICKETS)";"19/07/11";"AUROCO";"20372420040";"CAP 165-11";"";"18";""
"
";"T0314";"C0104";"01/07/11";"31/07/11";"Dolares";"375";"443";"375";"443";"";"20/07/11";"AUROCO";"20431684871";"CAP 166";"";"18";""
"
";"T0315";"C0105";"01/07/11";"31/08/11";"Dolares";"1760";"2077";"1760";"2077";"";"20/07/11";"AUROCO";"20523886861";"CAP 167-11";"";"18";""
"
";"T0316";"C0129";"01/07/11";"31/08/11";"Dolares";"10528";"12423,04";"10528";"12423,04";"";"20/07/11";"AUROCO";"20508508469";"CAP 163-11";"";"18";""
"
";"T02";"C045";"21/06/10";"31/07/10";"Dolares";"7360";"8758";"3680";"4379";"ORDENADO POR PUNTO & CADENA - CHARLY DEL CASTILLO";"22/06/10";"AUROCO";"XXX";"CAP 046-2010";"";"19";""
"
";"T00";"C041";"30/06/10";"16/07/10";"Dolares";"12250,29";"17150";"10000";"11900";"MATERIAL NUEVO POR INGRESAR AL CANAL
ORDEN POR FACTURAR";"21/06/10";"AUROCO";"20466246370";"CAP 043-2010";"";"19";""
"
";"T03";"C040";"21/06/10";"02/07/10";"Dolares";"270";"321";"120";"143";"FACTURAR A CONCEPTOS Y ARTE - FERNANDO TURIN TAFUR";"24/06/10";"AUROCO";"XXX";"CAP Nº 048-2010";"";"19";""
